Date,Open,High,Low,Close,Adj Close,Volume
2023-10-03,6304.089844,6307.939941,6253.330078,6305.990234,6305.990234,96700
2023-10-04,6289.299805,6298.200195,6270.359863,6298.200195,6298.200195,68700
2023-10-05,6266.000000,6289.669922,6178.600098,6178.600098,6178.600098,108600
2023-10-06,6196.049805,6270.890137,6166.689941,6259.950195,6259.950195,85400
2023-10-09,6238.169922,6271.720215,6227.250000,6252.160156,6252.160156,79100
2023-10-10,6265.859863,6303.439941,6263.740234,6264.069824,6264.069824,141400
2023-10-11,6280.850098,6308.049805,6253.959961,6253.959961,6253.959961,121700
2023-10-12,6266.040039,6283.720215,6234.600098,6263.060059,6263.060059,71100
2023-10-13,6264.660156,6283.500000,6260.500000,6266.339844,6266.339844,55500
2023-10-16,6261.720215,6265.850098,6198.830078,6198.830078,6198.830078,71900
2023-10-17,6215.129883,6286.209961,6215.129883,6280.899902,6280.899902,97800
2023-10-18,6278.500000,6290.049805,6255.029785,6268.270020,6268.270020,148600
2023-10-19,6263.220215,6263.220215,6216.100098,6219.160156,6219.160156,87200
2023-10-20,6208.500000,6208.500000,6142.899902,6142.899902,6142.899902,77000
2023-10-23,6135.700195,6139.049805,6065.370117,6088.439941,6088.439941,58000
2023-10-24,6086.439941,6103.620117,6039.720215,6039.720215,6039.720215,50000
2023-10-25,6050.100098,6080.490234,6026.430176,6054.500000,6054.500000,71300
2023-10-26,6051.259766,6051.259766,5974.169922,6018.490234,6018.490234,85900
2023-10-27,5996.200195,5999.549805,5956.859863,5961.990234,5961.990234,82400
2023-10-30,null,null,null,null,null,null
2023-10-31,5971.740234,5980.819824,5920.470215,5973.779785,5973.779785,86600
2023-11-01,null,null,null,null,null,null
2023-11-02,null,null,null,null,null,null
2023-11-03,6039.379883,6083.689941,5989.270020,5989.270020,5989.270020,81700
2023-11-06,6006.589844,6078.029785,6006.589844,6078.029785,6078.029785,56500
2023-11-07,6081.439941,6131.319824,6055.680176,6131.319824,6131.319824,54600
2023-11-08,6133.189941,6155.029785,6103.640137,6155.029785,6155.029785,64900
2023-11-09,6155.649902,6203.720215,6155.649902,6188.220215,6188.220215,85700
2023-11-10,6189.000000,6189.000000,6127.959961,6161.890137,6161.890137,61600
2023-11-13,6158.220215,6158.759766,6114.339844,6116.140137,6116.140137,38000
2023-11-14,6122.390137,6128.069824,6079.149902,6110.879883,6110.879883,62600
2023-11-15,6114.580078,6173.259766,6106.589844,6171.129883,6171.129883,75500
2023-11-16,6177.629883,6191.479980,6164.200195,6191.479980,6191.479980,78100
2023-11-17,6172.390137,6232.120117,6171.169922,6211.890137,6211.890137,85000
2023-11-20,6206.310059,6211.970215,6174.520020,6183.629883,6183.629883,70900
2023-11-21,6196.990234,6219.060059,6183.049805,6208.830078,6208.830078,91800
2023-11-22,6213.680176,6253.180176,6204.229980,6253.180176,6253.180176,59600
2023-11-23,6249.459961,6259.660156,6233.669922,6246.200195,6246.200195,51300
2023-11-24,6249.790039,6271.629883,6237.660156,6269.500000,6269.500000,57100
2023-11-27,null,null,null,null,null,null
2023-11-28,6274.160156,6310.970215,6274.160156,6309.569824,6309.569824,108200
2023-11-29,6306.959961,6329.419922,6265.140137,6265.140137,6265.140137,91200
2023-11-30,6258.870117,6259.279785,6207.069824,6223.729980,6223.729980,142800
2023-12-01,6230.870117,6254.029785,6221.520020,6245.180176,6245.180176,57800
2023-12-04,6237.870117,6284.370117,6234.220215,6284.370117,6284.370117,52600
2023-12-05,6288.859863,6308.950195,6235.580078,6308.950195,6308.950195,70100
2023-12-06,6306.390137,6306.390137,6273.970215,6305.850098,6305.850098,81900
2023-12-07,6304.709961,6306.419922,6227.720215,6234.770020,6234.770020,72600
2023-12-08,null,null,null,null,null,null
